flow,batch_idx,cfg,height,image_path_lora,image_path_no,loras,prompt_idx,prompt_text,sampler,scheduler,seed,steps,width,expected_text,clip_similarity_no,clip_similarity_lora,clip_delta,ocr_text_no,ocr_text_lora,ocr_score_no,ocr_score_lora,ocr_delta,ocr_missing_no,ocr_missing_lora
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st15_1_no_0.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6110,0.6225,0.0115,,tert fux,,-0.2500,,1,0
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st15_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st15_1_no_1.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6033,0.6106,0.0073,,,,,,1,1
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st15_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st15_1_no_2.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6156,0.6149,-0.0007,,Lous,,0.2500,,1,0
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st15_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st15_1_no_3.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6158,0.6226,0.0067,,,,,,1,1
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st20_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st20_1_no_0.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6130,0.6286,0.0156,,tt fux,,0.2500,,1,0
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st20_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st20_1_no_1.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6092,0.6153,0.0061,,fax,,0.5000,,1,0
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st20_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st20_1_no_2.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6110,0.6111,0.0001,,,,,,1,1
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st20_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st20_1_no_3.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6057,0.6227,0.0170,,"F IUD
EX >>",,-0.2500,,1,0
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st25_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st25_1_no_0.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6101,0.6523,0.0422,,text fLLx,,-0.2500,,1,0
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st25_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p1_cfg4_st25_1_no_1.png,wordmark:1.0;minimalistic:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6044,0.6292,0.0248,,,,,,1,1
